state_name,district_name,subdistrict_name,village_name,village_code
Chhattisgarh,Balodabazar-Bhatapara,Sonakhan,Kothari,444181
Chhattisgarh,Korba,Barpali,Kothari,436434
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur(M C B),Manendragarh,Kothari,431709
Gujarat,Gir Somnath,Una,Kothari,515343
Jammu And Kashmir,Doda,Doda,Kothari,4211
Jammu And Kashmir,Udhampur,Moungri,Kothari,4853
Karnataka,Bagalkote,Badami,Adagal,598748
Karnataka,Bagalkote,Badami,Agasarakoppa,598647
Karnataka,Bagalkote,Badami,Aladakatti,598713
Karnataka,Bagalkote,Badami,Alur .S.K.,598724
Karnataka,Bagalkote,Badami,Anantagiri,598769
Karnataka,Bagalkote,Badami,Anawal,598636
Karnataka,Bagalkote,Badami,Bachinagudd,598741
Karnataka,Bagalkote,Badami,Badami (Rural) *,598750
Karnataka,Bagalkote,Badami,Bandakeri,598632
Karnataka,Bagalkote,Badami,Bankaneri,598718
Karnataka,Bagalkote,Badami,Bedarabudihal,598736
Karnataka,Bagalkote,Badami,Beeranur,598726
Karnataka,Bagalkote,Badami,Belawalakoppa,598717
Karnataka,Bagalkote,Badami,Bellikindi,598641
Karnataka,Bagalkote,Badami,Belur,598766
Karnataka,Bagalkote,Badami,Bhadra Nayakan Jalihal,598740
Karnataka,Bagalkote,Badami,Budihal,598758
Karnataka,Bagalkote,Badami,Chikkamuchalagudda,598735
Karnataka,Bagalkote,Badami,Chikkanasabi,598755
Karnataka,Bagalkote,Badami,Chimmanakatti,598709
Karnataka,Bagalkote,Badami,Chinchalakatti,598654
Karnataka,Bagalkote,Badami,Chirlakoppa,598710
Karnataka,Bagalkote,Badami,Cholachagudda,598756
Karnataka,Bagalkote,Badami,Dhanakashirur,598765
Karnataka,Bagalkote,Badami,Fakeerabudihal,598643
Karnataka,Bagalkote,Badami,Ganganabudihal,598627
Karnataka,Bagalkote,Badami,Gonal,598743
Karnataka,Bagalkote,Badami,Govanaki,598746
Karnataka,Bagalkote,Badami,Govanakoppa,598727
Karnataka,Bagalkote,Badami,Gubberakoppa,598649
Karnataka,Bagalkote,Badami,Guddada Mallapur,598768
Karnataka,Bagalkote,Badami,Haganur,598723
Karnataka,Bagalkote,Badami,Halageri,598699
Karnataka,Bagalkote,Badami,Halakurki,598658
Karnataka,Bagalkote,Badami,Haligeri,598698
Karnataka,Bagalkote,Badami,Hanamaneri (G),598655
Karnataka,Bagalkote,Badami,Hanamaneri Inam,598623
Karnataka,Bagalkote,Badami,Hanamasagar,598705
Karnataka,Bagalkote,Badami,Hawalakhod,598642
Karnataka,Bagalkote,Badami,Hebballi,598732
Karnataka,Bagalkote,Badami,Hiremuchalagudda,598734
Karnataka,Bagalkote,Badami,Hirenasabi,598754
Karnataka,Bagalkote,Badami,Hoolageri,598631
Karnataka,Bagalkote,Badami,Hosakoti,598637
Karnataka,Bagalkote,Badami,Hosur,598753
Karnataka,Bagalkote,Badami,Hullikeri Inam,598657
Karnataka,Bagalkote,Badami,Jakanur,598759
Karnataka,Bagalkote,Badami,Jalageri,598634
Karnataka,Bagalkote,Badami,Jalihal,598767
Karnataka,Bagalkote,Badami,Jangawad,598640
Karnataka,Bagalkote,Badami,Kabbalageri,598749
Karnataka,Bagalkote,Badami,Kadapatti S.K,598656
Karnataka,Bagalkote,Badami,Kadarakoppa,598622
Karnataka,Bagalkote,Badami,Kagalagomba,598629
Karnataka,Bagalkote,Badami,Kainakatti,598638
Karnataka,Bagalkote,Badami,Kakanur,598708
Karnataka,Bagalkote,Badami,Kalabandakeri,598635
Karnataka,Bagalkote,Badami,Kalas,598729
Karnataka,Bagalkote,Badami,Kallapur.S.K,598706
Karnataka,Bagalkote,Badami,Karadigudda.S.A.,598702
Karnataka,Bengaluru Urban,Bengaluru South,Hongasandra,938422
Karnataka,Shivamogga,Sorab,Kothari,607660
Karnataka,Tumakuru,Gubbi,Adalagere,611765
Madhya Pradesh,Agar-Malwa,Agar,Abhaypur,472592
Madhya Pradesh,Agar-Malwa,Agar,Agar Chhawani,948264
Madhya Pradesh,Agar-Malwa,Agar,Ahir Bardiya,472509
